Year,Month,Risk
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.5000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4250001
Year 2021,Jul,0.4250001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.525
Year 2021,Jul,0.525
Year 2021,Jul,0.6000001
Year 2021,Jul,0.65
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.525
Year 2021,Jul,0.525
Year 2021,Jul,0.4250001
Year 2021,Jul,0.4250001
Year 2021,Jul,0.4250001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.525
Year 2021,Jul,0.5500001
Year 2021,Jul,0.4250001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.525
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.525
Year 2021,Jul,0.65
Year 2021,Jul,0.65
Year 2021,Jul,0.65
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.65
Year 2021,Jul,0.65
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.525
Year 2021,Jul,0.5500001
Year 2021,Jul,0.525
Year 2021,Jul,0.575
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.525
Year 2021,Jul,0.5000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.525
Year 2021,Jul,0.5500001
Year 2021,Jul,0.525
Year 2021,Jul,0.5500001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.4250001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.525
Year 2021,Jul,0.525
Year 2021,Jul,0.5500001
Year 2021,Jul,0.65
Year 2021,Jul,0.6000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.575
Year 2021,Jul,0.5500001
Year 2021,Jul,0.525
Year 2021,Jul,0.4750001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.525
Year 2021,Jul,0.525
Year 2021,Jul,0.6000001
Year 2021,Jul,0.575
Year 2021,Jul,0.6000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.525
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.45
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.45
Year 2021,Jul,0.525
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6250001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.575
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.45
Year 2021,Jul,0.4750001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.5000001
Year 2021,Jul,0.4750001
Year 2021,Jul,0.525
Year 2021,Jul,0.5500001
Year 2021,Jul,0.575
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.6000001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Jul,0.5500001
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.7
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.7
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.65
Year 2021,Aug,0.6
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.55
Year 2021,Aug,0.6
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.7
Year 2021,Aug,0.7
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.55
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.675
Year 2021,Aug,0.7
Year 2021,Aug,0.675
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.55
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.7
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.55
Year 2021,Aug,0.575
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.475
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.7
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.6
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.45
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.575
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.6
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.575
Year 2021,Aug,0.7
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.7
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.425
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.6
Year 2021,Aug,0.7
Year 2021,Aug,0.7
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.425
Year 2021,Aug,0.425
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.575
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.625
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.65
Year 2021,Aug,0.6
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.6
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.45
Year 2021,Aug,0.45
Year 2021,Aug,0.425
Year 2021,Aug,0.45
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.55
Year 2021,Aug,0.6
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.575
Year 2021,Aug,0.6
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.45
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.475
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.6
Year 2021,Aug,0.65
Year 2021,Aug,0.6
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.45
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.525
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.6
Year 2021,Aug,0.7
Year 2021,Aug,0.65
Year 2021,Aug,0.6
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.55
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.5
Year 2021,Aug,0.5
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.55
Year 2021,Aug,0.55
Year 2021,Aug,0.5
Year 2021,Aug,0.475
Year 2021,Aug,0.525
Year 2021,Aug,0.525
Year 2021,Aug,0.6
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.7
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.55
Year 2021,Aug,0.525
Year 2021,Aug,0.6
Year 2021,Aug,0.625
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.675
Year 2021,Aug,0.675
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.65
Year 2021,Aug,0.625
Year 2021,Aug,0.6
Year 2021,Aug,0.6
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Aug,0.575
Year 2021,Sep,0.5375001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.45
Year 2021,Sep,0.45
Year 2021,Sep,0.4625001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.5500001
Year 2021,Sep,0.6000001
Year 2021,Sep,0.575
Year 2021,Sep,0.6125001
Year 2021,Sep,0.6125001
Year 2021,Sep,0.6125001
Year 2021,Sep,0.6125001
Year 2021,Sep,0.6125001
Year 2021,Sep,0.6125001
Year 2021,Sep,0.6125001
Year 2021,Sep,0.6125001
Year 2021,Sep,0.65
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4000001
Year 2021,Sep,0.4000001
Year 2021,Sep,0.45
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4875001
Year 2021,Sep,0.4875001
